OID_;X;Y;Shape_Length;Shape_Area;Construction_min;Construction_max;Demolition_min;Demolition_max;Address;Cause;Source;Comments;Is_demolished;Fire
268;270523,6089;7042213,773;31,68090108;53,97721456;1841;1851;1971;1980;Gaubekveita 4;;;;TRUE;0
246;270546,412;7042224,428;42,27041712;111,3145586;1841;1851;;1909;Gaubekveita 5;;;;TRUE;0
269;270517,6792;7042214,101;35,43171237;74,64218468;1841;1851;1971;1980;Gaubekveita 6;;;;TRUE;0
270;270510,8358;7042214,24;32,08530469;57,52730148;1841;1851;1910;1930;Gaubekveita 8;;;current one from post reformation;TRUE;0
239;270568,4316;7042149,958;46,3814007;74,59497723;1841;1851;;1915;Gjelvangveita 1;;;;TRUE;0
274;270582,2577;7042235,53;39,82181745;95,87089733;1841;1851;;;Gjelvangveita 11;;;;FALSE;0
232;270546,916;7042159,252;56,50350984;203,5273884;1841;1851;;2000;Gjelvangveita 2;;;;TRUE;0
240;270569,2267;7042159,645;60,18783399;213,1292676;1841;1851;;1915;Gjelvangveita 3;;;;TRUE;0
250;270558,6384;7042197,294;61,94443837;178,153893;1841;1851;;1914;Gjelvangveita 4;;;;TRUE;0
245;270581,0726;7042212,904;63,63566822;255,3689332;1841;1851;1982;2012;Gjelvangveita 7;;;;TRUE;0
251;270581,9524;7042225,153;53,3561271;166,946672;1841;1851;;1905;Gjelvangveita 9;;;;TRUE;0
11;270726,9829;7042048,405;63,86029591;162,1898484;1841;1851;1971;1983;Hornemannsveita ;;;;TRUE;0
222;270412,0318;7042154,916;99,56974264;280,3895024;1841;1851;1964;1971;Jomfrugata 11;;;;TRUE;0
30;270383,5289;7042154,745;38,00878485;85,15010301;1841;1851;1971;1977;Jomfrugata 12;;;;TRUE;0
221;270405,9854;7042170,279;67,58692602;218,947451;1841;1851;1964;1971;Jomfrugata 13;;;;TRUE;0
220;270403,7699;7042184,801;36,43477615;86,8506232;1841;1851;;1940;Jomfrugata 15;;;;TRUE;0
124;270406,872;7042199,97;50,17743732;153,571113;1841;1851;;1931;Jomfrugata 17A;;;Orjaveita 8 (in 1851);TRUE;0
223;270405,8202;7042209,35;42,60990843;109,2526798;1841;1845;1964;1967;Jomfrugata 17B;;;jomfrugata 17 (in 1851);TRUE;0
122;270387,8922;7042229,674;30,94155334;58,19778356;1841;1851;;1898;Jomfrugata 22;;;;TRUE;0
202;270410,3374;7042063,281;70,18251313;287,1579844;1841;1851;1957;1963;Jomfrugata 7;;;;TRUE;0
201;270410,9937;7042074,865;77,08373042;173,6281427;1841;1851;;1930;Jomfrugata 9;;;;TRUE;0
323;270727,1724;7041967,978;56,47689058;173,4994421;1841;1851;1951;1952;Kjøpmannsgata 34;;;;TRUE;0
321;270720,2261;7041988,615;111,0635496;652,2437833;1841;1845;;1887;Kjøpmannsgata 36;;antikvarisk;;TRUE;0
8;270725,9908;7042006,383;120,5868474;814,6322718;1841;1851;1951;1981;Kjøpmannsgata 38;;;;TRUE;0
4;270786,4075;7042116,776;100,9098298;605,6948476;1708;1766;;;Kjøpmannsgata 44;;;Not demolished !;FALSE;0
5;270784,526;7042140,194;165,2037396;1206,307177;1841;1845;1976;1976;Kjøpmannsgata 46;;antikvarisk;;TRUE;0
336;270819,1281;7042168,846;35,31575556;75,68090225;1841;1841;1976;1976;Kjøpmannsgata 48;;archives;;TRUE;0
279;270828,5776;7042222,053;131,259707;1114,086153;1841;1845;;;Kjøpmannsgata 52;;antikvarisk;NOT DEMOLISHED;FALSE;0
10;270718,3247;7042034,626;80,73419084;416,3439825;1841;1851;1983;1994;Kramboveiten 2;;;;TRUE;0
330;270699,8781;7042033,068;47,10938399;137,0223715;1841;1851;1971;1983;Kramboveiten 4;;;;TRUE;0
318;270682,517;7042056,259;33,43361775;68,23721916;1841;1851;1937;1957;Krambugata 10;;;;TRUE;0
335;270780,1307;7042173,201;108,4769417;383,2990672;1789;1797;1975;1975;Krambugata 11;;;;TRUE;0
325;270674,5183;7042073,151;126,9603039;733,3458631;1841;1851;1937;1957;Krambugata 12;;;;TRUE;0
337;270790,7675;7042195,798;99,50806008;606,7277566;1841;1845;1975;1975;Krambugata 13;;;;TRUE;0
46;270734,8709;7042154,387;109,87539;503,8079436;1841;1851;;1909;Krambugata 14;;;;TRUE;0
282;270798,426;7042219,633;61,44950613;219,9307612;1841;1851;;1902;Krambugata 15;;;;TRUE;0
297;270756,2485;7042186,396;83,02291409;416,8810467;1841;1851;;1991;Krambugata 16;;;;TRUE;0
296;270764,6322;7042199,125;54,58806621;124,3904081;1841;1851;;1991;Krambugata 18;;;CHECK PICTURES;TRUE;0
295;270770,0014;7042209,456;54,19315866;194,0451045;1841;1851;;1991;Krambugata 20;;;CHECK PICTURES;TRUE;0
285;270779,541;7042233,939;56,95774192;107,6405955;1841;1851;1857;1857;Krambugata 22;;antikvarisk;MODIFIED cf vfeb;TRUE;1
331;270704,614;7042049,921;50,80200631;110,0906331;1841;1851;;1932;Krambugata 3;;;;TRUE;0
332;270720,152;7042068,386;53,08995644;175,0020519;1841;1845;;1975;Krambugata 5;fire;;;TRUE;1
301;270657,7965;7042006,062;62,18215749;226,1047085;1841;1851;;1925;Krambugata 6;;;;TRUE;0
333;270722,7787;7042079,446;31,62934949;62,19074645;1841;1845;;1975;Krambugata 7;fire;;;TRUE;1
324;270686,0459;7041992,979;192,7303896;1963,468594;1841;1851;1951;1964;Krambugata 7;;;;TRUE;0
319;270667,3691;7042054,242;103,0575477;280,7841966;1841;1851;1957;1964;Krambugata 8;;;;TRUE;0
334;270768,6325;7042155,879;47,43686487;140,4099653;1841;1845;1975;1975;Krambugata 9;;;;TRUE;0
166;270335,9986;7042011,728;94,19499031;328,9312097;1841;1851;1898;1898;Munkegata 25;;;;TRUE;0
158;270340,0019;7042066,147;40,7711099;89,74329307;1841;1851;1980;1981;Munkegata 31;;;merged with 31 munkegata in 1901;TRUE;0
157;270328,3135;7042056,166;97,54025515;252,9419137;1841;1851;1901;1910;Munkegata 31;;;;TRUE;0
184;270305,3713;7042146,06;45,43330317;129,0635139;1841;1851;;1900;Munkegata 37;;;;TRUE;0
189;270368,8528;7042069,681;39,06011807;95,23449816;1841;1845;;1990;Nedre Enkeltskillingsveita 1;;;;TRUE;0
